treated,control
18646020,82029020
82742010,91277010
82213020,76924010
46972010,82223020
78858010,57541010
43586020,87701020
71795010,41217010
75926020,53102020
58267020,40388020
74510010,71342020
51921010,14655020
22980010,83874020
50239010,85689010
12108010,61167010
37025010,31014020
42125010,59580010
80204010,41670020
21412020,15543010
78723010,77058010
59930010,23112010
53050020,50853010
49425010,49384010
82787010,48962010
61251010,22516010
42001010,38668010
207759020,86117010
41926020,44977010
16449020,58249010
32996010,36915010
37414010,23108010
18245010,84709010
49357010,40284010
53482020,12252010
72134010,59051020
37160010,63567010
32126020,79858010
17428010,75765020
48870010,37215010
52496010,85832010
78623010,49470020
42503020,33938010
14137020,40126020
85910010,49648010
36950010,36245010
75035010,78273010
55151010,56089010
47415010,81332010
52399010,57168010
78341010,11253010
31633020,10477020
83494020,75932020
72510010,18264010
33221020,25087020
84628020,12745010
44934010,30091010
35260010,23303010
73779010,86009020
85604010,52965020
54027010,35845010
12124020,74350010
59695010,33404020
14072010,72352020
56747010,24628010
59210020,71229010
48250020,45438020
61179010,61261010
62753010,65761010
64491010,52884020
20917010,33137010
41116020,73933020
24880020,41122020
32142010,57921010
19687010,71875020
38548010,54376010
58501010,60537020
50283020,57248010
10917010,15657010
17626010,12172020
83592020,39914020
48868010,50997020
38862010,44078010
77851010,77327010
86486010,65777010
82553010,84535010
87079020,32379010
13598020,60347010
65196020,16700010
48778020,15591020
23876010,11479010
37257010,38999020
97589020,42302010
61213010,77907020
51896020,43890010
40223010,24769020
45053020,33415010
17241010,73920010
59864010,19342010
48534010,56296010
77439010,78135010
58567010,45399020
34957010,83051020
78476010,22492020
85969010,73138010
79220010,50992010
73323020,56444010
22174010,60675010
34222010,20471010
36992010,79704010
81202010,24697020
21720010,77751010
53033020,77557020
41250010,81297010
34016010,40877010
83836010,34974020
60723010,45445020
40108010,33544010
79935010,48615010
22182010,81814010
39576010,44817020
65984010,60688020
14455010,37201010
75926010,84148010
53407020,86257020
54114020,44751010
24240020,45923010
79557010,63699010
41222010,35009020
59763020,57485010
12920010,14782010
82270010,18539010
60768010,20256010
58191010,33390010
40066010,50694010
85625010,41043010
38892010,50185010
73025020,79076010
207794020,17237020
56665020,54629020
43512020,65891020
30580010,14746010
54240010,36683020
86797010,20524020
79180010,83052010
71202010,16856010
91297010,73957010
23028020,90636020
14252010,21001010
81214010,44602020
50572020,72357010
83287010,23183010
21632010,62157010
48018010,23212020
39378010,37364010
12054020,73806010
30406010,20527010
62176010,54540020
53905010,24050020
83578010,36804010
75940010,76974010
88115010,46105010
78392020,207811020
56072010,50473010
11477010,48623020
38089010,60607010
35169010,17356010
51029010,50842010
80902020,31879020
53148020,85605010
42739020,13140010
34974010,25104010
61402010,30146010
25220010,48901010
71913010,87934020
59920020,80279010
77163010,31051010
56067010,56298020
11256010,50867010
51577020,57227020
65701020,72544020
38934010,43906010
30113010,43562010
46769010,13772020
17134010,40939010
85061010,58874010
59812010,76716010
37607010,55603010
73323010,38530020
65250010,12474010
48327020,15591010
46803020,46109010
49661010,19760010
41574010,54961010
23381010,14844010
50145010,38538010
23430010,11863010
50214010,32399020
30761010,32929010
45922010,14959010
77595020,19773010
73943010,60227020
12455010,43318010
64536020,49232020
24577010,24058010
82907010,23516020
10592010,35403010
23965010,16975010
22122010,77921010
65888020,65976020
50587020,46793010
63559020,52298020
16761010,16471010
14104020,22599020
36734020,87372020
21002010,20383010
13399010,58895010
58125010,11835010
13062020,86788010
72327010,20554010
36549020,42686010
65482020,46558020
18200010,40260020
45585010,42337010
44205020,41605010
78965010,33387020
39275010,85226010
58377010,32993010
32878010,50412010
71750010,36868010
19298020,12274020
14674010,25623020
82405020,48491020
45266020,59961010
44910020,73393020
33214010,20719010
16107010,13158010
79876010,13652010
82907020,81848020
38961010,22364010
19213020,19992010
82096020,71850010
60553010,40964020
33902010,77772010
81420010,30333010
38923010,82935010
33530010,77960010
74995010,76539010
18356010,72803010
12513010,44854010
17209010,41067010
57544020,33028010
20913010,60793010
95033020,85421020
48778010,40888020
71408010,39196010
37298010,34577010
17042020,43257020
57396020,75764020
208289020,10404010
72009010,35849010
206183020,20374010
16822020,39965010
49554010,76382010
39059020,76438020
88265020,73876020
21199010,86812010
49385010,81023010
16312010,61093010
24968010,37735010
49801010,32441010
59934010,77244020
36388010,11656010
12161020,13212010
21721020,40617020
18896010,42824010
41713020,52745020
48652010,20346020
19903010,13532010
56489010,53347020
50587010,52442010
54008010,80398020
54113010,43652020
