treated,control
76504010,79442010
14069020,72930010
60553010,87116020
84119020,51111010
54298010,22522020
60278010,85173010
81228010,56296020
17790010,38916020
48686010,81408010
41027020,38477020
21468010,48823020
84585010,76438010
84406010,23801010
21300020,76933020
59355010,18865010
86366010,51251010
64491010,33827020
43870010,58277010
72963010,45742010
21544010,77354010
77917020,50716020
24382010,48595010
73949010,35009010
72733010,33533010
45397010,33935020
22726010,42943010
39629010,87677010
39648010,84643020
44919020,16404010
12909020,44300020
203740020,77595010
25565010,52989010
86648020,23529010
49219020,65586010
14332010,31552010
16770010,37251020
65834010,78183010
86894010,60424020
24240020,81819010
71154010,85001010
10482010,48103010
34412010,56296010
76362010,30892020
78989010,52542010
11542010,34644010
37893010,44595010
75940010,51405020
51270010,13601010
60214010,44144010
72143010,32214020
51318020,45759010
19050010,73408020
52698010,77264020
77757010,78748020
23034010,13518010
201326020,63567020
44754010,79424010
14802020,43628010
83613010,36991010
45585010,12516010
10433010,64654010
76285010,12218020
15960010,39159010
71795020,24103020
19857020,33879020
50974020,19738010
73836010,41394010
33081010,59569010
44169020,72386010
83494010,50622020
13738020,35857010
14137020,55902010
59763020,84388020
42071010,80398020
23323010,23923020
51185010,47619010
37298010,56140020
74105010,80075010
19973010,46934020
10378010,18739010
61179010,46796020
80299010,40243010
13433020,25556010
57639010,52459010
44271020,25361010
42125010,72048020
79609020,44717010
10648010,35677020
15294010,203692020
30580010,78875010
38100010,36250020
49661010,13089010
44992010,44854020
59419020,11911010
79113020,85832010
52105010,21233020
54735010,58290010
41797010,20540020
59765020,75388020
51725020,50709010
78310010,43977010
50488010,13344010
84575020,84004020
14830020,18613010
49689010,91576020
71258010,53277020
72510010,46146020
35892010,24187020
79955010,73756010
25220010,49203020
36889010,49279010
2010,78446010
59795020,32859010
87650020,16799010
56138010,78133020
12496010,61054010
51865020,71417010
76766020,14597010
21710020,18983020
58862010,76941010
33419010,83918010
51348020,65116010
49742020,49442020
73111020,34668010
92313020,23621010
50283020,81842010
62092010,52015010
42913020,45434020
86045020,32821020
66078010,84993010
24582010,16233020
18680010,18864010
48088020,87469010
87153010,22262020
59812010,22572010
21633010,15834010
46826010,75933010
79491010,39875020
83578010,11071010
77931010,80661010
85332010,17356020
41276010,44647010
83417010,55634010
74105020,17202010
36040010,44854010
20243010,83747010
73025010,40294020
34763010,14869010
57218010,78223010
51896020,75412020
20511010,50884020
11956010,57348010
33500010,79762010
40917010,79382010
65192010,47565010
88115010,48314020
14701010,81731010
25206010,40272010
18199010,59966020
60647010,50376010
34161020,12458020
54113010,82797020
87079010,76945020
65996010,24040010
45354010,45374010
52971010,53898020
85204020,48992010
76493020,81825010
78114010,32947010
73943010,25581020
89277020,75460010
45687010,12393020
14731020,55570010
38977010,33390010
52987020,40718010
22122010,55721020
81407010,45700010
60741010,20247020
36218020,76616010
34534010,50156010
48778020,51406010
82525020,10206010
43347010,48551010
74292010,72912010
72134010,43354010
71970010,10453010
86457020,19822010
58804020,42739010
84399010,58122020
78114020,41220020
63396010,20911020
16312010,23319010
12161020,72056010
21073010,81842020
43295010,46602010
22999010,57511010
54114020,36902020
76782010,37262020
35992020,22860010
48819010,90697010
44260020,20861010
10533010,25606020
78605010,45027010
21507010,203236010
20899010,47821010
19705010,30523020
60073010,73198010
84502020,50766010
81545010,35613020
72859010,48888020
49511020,79666010
72332010,45302020
84137010,31378010
23572010,15935010
31303010,12588020
20692010,56966010
43586020,43837020
42240010,60300010
13399010,49609020
11010010,75060020
58266010,47163010
88124010,45852010
88272010,75764010
81851020,49528010
73779020,15048010
10902010,79033020
59763010,87278010
16243010,43943020
31628010,38615010
12054020,19496020
89277010,24014010
39257020,77518020
32996010,48622010
81443010,47445010
59255010,22275010
10652010,65898020
36277010,39929020
39257010,82315020
47737010,77475010
41047010,78044010
10677010,51514010
80169010,48624010
46803020,53901020
35260020,86647010
21464020,40778010
22243010,38921010
15129010,82952020
22388020,52149010
21206010,48628020
39466020,30634010
60278020,34338010
40726010,19403020
11902020,85220010
24452010,73778010
36708020,20806010
47680020,13552020
48568020,85689010
83032010,83584010
75456010,15225010
72327010,50708010
84334010,22522010
41380010,75765020
